comment_id;updated;shortcode;created_at;comment_text;comment_likes;translation;tokens;positive;neutral;negative;sentiment
1,78932E+16;21.06.2021 15:01;CJxzguwpYWi;21.01.2021 19:01;@urban_bogi_ mine?😍;1;@urban_bogi_ mine?😍;'@urban_bogi_', 'mine', '😍';1;0;0;positive
1,78701E+16;21.06.2021 15:01;CJxzguwpYWi;21.01.2021 19:01;😍😍😍😍😍😍;0;😍😍😍😍😍😍;'😍', '😍', '😍';1;0;0;positive
1,7944E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 18:48;❤️;0;❤️;'❤', '️';1;0;0;positive
1,81552E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 18:58;@youssefseoudy;1;@Youssefseoudy;'@youssefseoudy';0;1;0;neutral
1,80269E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 19:07;🔥;0;🔥;'🔥';1;0;0;positive
1,81171E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 19:10;😍;0;😍;'😍';1;0;0;positive
1,78716E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 19:11;💗;0;💗;'💗';1;0;0;positive
1,78908E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 19:16;I don't have words to say anything about this beauty ❤️............... It's obviously bomb 💥💥;2;I don't have words to say anything about this beauty ❤️............... It's obviously bomb 💥💥;'word', 'say', 'anything', 'beauty', '❤', '️', 'obviously', 'bomb', '💥', '💥';1;0;0;positive
1,79337E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 19:26;🔥🔥🔥🔥;0;🔥🔥🔥🔥;'🔥', '🔥', '🔥';1;0;0;positive
1,7904E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 19:48;What? No Bernie?;0;What? No Bernie?;'bernie';0;0;1;negative
1,79039E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 20:33;👍💕👌;0;👍💕👌;'👍', '💕', '👌';1;0;0;positive
1,78547E+16;21.06.2021 15:02;CJyqdXXpB0v;22.01.2021 20:36;Beauty🖤;1;Beauty🖤;'beauty', '🖤';1;0;0;positive
