,comment_id,updated,shortcode,created_at,comment_text,comment_likes,translation,tokens
0,17893229647857890,2021-06-21 15:01:49.085,CJxzguwpYWi,2021-01-21 19:01:49.000,@urban_bogi_ mine?😍,1,@urban_bogi_ mine?😍,"'@urban_bogi_', 'mine', '😍'"
1,17870137595243191,2021-06-21 15:01:49.085,CJxzguwpYWi,2021-01-21 19:01:58.000,😍😍😍😍😍😍,0,😍😍😍😍😍😍,"'😍', '😍', '😍'"
2,17943995236411419,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 18:48:03.000,❤️,0,❤️,"'❤', '️'"
3,18155172391109628,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 18:58:13.000,@youssefseoudy,1,@Youssefseoudy,'@youssefseoudy'
4,18026903908293772,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 19:07:30.000,🔥,0,🔥,'🔥'
5,18117113695172827,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 19:10:08.000,😍,0,😍,'😍'
6,17871555236207856,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 19:11:07.000,💗,0,💗,'💗'
7,17890806151842687,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 19:16:55.000,I don't have words to say anything about this beauty ❤️............... It's obviously bomb 💥💥,2,I don't have words to say anything about this beauty ❤️............... It's obviously bomb 💥💥,"'word', 'say', 'anything', 'beauty', '❤', '️', 'obviously', 'bomb', '💥', '💥'"
8,17933740192451806,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 19:26:03.000,🔥🔥🔥🔥,0,🔥🔥🔥🔥,"'🔥', '🔥', '🔥'"
9,17903986885675580,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 19:48:05.000,What? No Bernie?,0,What? No Bernie?,'bernie'
10,17903918557715331,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 20:33:45.000,👍💕👌,0,👍💕👌,"'👍', '💕', '👌'"
11,17854713422455642,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 20:36:10.000,Beauty🖤,1,Beauty🖤,"'beauty', '🖤'"
12,17912325586590212,2021-06-21 15:02:16.368,CJyqdXXpB0v,2021-01-22 20:57:22.000,Hi,0,Hi,'hi'
